user_id,trace_number,curr_frameset_name,activity_name,question_id,timestamp
812,trace 4,GrammarIntroFS,X,7,27-01-21 5:23
812,trace 4,GrammarIntroFS,Crrct,7,27-01-21 5:23
812,trace 4,GrammarIntroFS,Crrct,8,27-01-21 5:24
812,trace 4,GrammarIntroFS,Crrct,9,01-02-21 17:54
812,trace 4,GrammarIntroFS,Crrct,10,01-02-21 17:54
812,trace 4,GrammarIntroFS,Crrct,11,01-02-21 17:55
812,trace 4,GrammarIntroFS,Crrct,12,01-02-21 17:55
812,trace 4,GrammarIntroFS,Crrct,13,01-02-21 17:59
812,trace 4,GrammarIntroFS,X,14,01-02-21 17:59
812,trace 4,GrammarIntroFS,X,14,01-02-21 17:59
812,trace 4,GrammarIntroFS,Crrct,14,01-02-21 17:59
812,trace 4,GrammarIntroFS,Crrct,15,01-02-21 18:00
812,trace 4,GrammarIntroFS,Crrct,16,01-02-21 18:11
812,trace 4,GrammarIntroFS,Crrct,17,01-02-21 18:12
812,trace 4,GrammarIntroFS,Crrct,18,01-02-21 18:12
812,trace 4,GrammarIntroFS,Crrct,19,01-02-21 18:12
812,trace 4,GrammarIntroFS,Crrct,20,01-02-21 18:12
812,trace 4,GrammarIntroFS,X,21,01-02-21 18:14
812,trace 4,GrammarIntroFS,Crrct,21,01-02-21 18:14
812,trace 4,GrammarIntroFS,X,22,01-02-21 18:15
812,trace 4,GrammarIntroFS,Crrct,22,01-02-21 18:15
812,trace 4,GrammarIntroFS,Crrct,23,01-02-21 18:16
812,trace 4,GrammarIntroFS,Frameset_END_Suc,23,16:22.1
812,trace 5,RelationsFS,ST_Frameset,0,55:45.9
812,trace 5,RelationsFS,Crrct,0,01-02-21 18:55
812,trace 5,RelationsFS,Crrct,1,01-02-21 18:56
812,trace 5,RelationsFS,Crrct,2,01-02-21 18:56
812,trace 5,RelationsFS,Crrct,3,01-02-21 18:57
812,trace 5,RelationsFS,Crrct,4,01-02-21 18:57
812,trace 5,RelationsFS,X,5,01-02-21 18:58
812,trace 5,RelationsFS,Crrct,5,01-02-21 18:58
812,trace 5,RelationsFS,X,6,01-02-21 18:58
812,trace 5,RelationsFS,Back,5,58:34.9
812,trace 5,RelationsFS,Crrct,5,01-02-21 18:58
812,trace 5,RelationsFS,X,6,01-02-21 18:58
812,trace 5,RelationsFS,Crrct,6,01-02-21 18:58
812,trace 5,RelationsFS,Crrct,7,01-02-21 18:58
812,trace 5,RelationsFS,X,8,01-02-21 18:59
812,trace 5,RelationsFS,X,8,01-02-21 18:59
812,trace 5,RelationsFS,X,8,01-02-21 18:59
812,trace 5,RelationsFS,X,8,01-02-21 18:59
812,trace 5,RelationsFS,X,8,01-02-21 18:59
812,trace 5,RelationsFS,Crrct,8,01-02-21 18:59
812,trace 5,RelationsFS,Crrct,9,01-02-21 18:59
812,trace 5,RelationsFS,Frameset_END_Suc,9,59:58.1
